Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio
M470,PALANCA FRENO DE MANO UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M471,CHICOTE FRENO DE MANO ,PIEZA,MOTOS,,NO,NO,NO,NO
M472,TABLERO VELOCIMETRO,PIEZA,MOTOS,,NO,NO,NO,NO
M473,TAPA DEPOSITO ANTICONGELANTE,PIEZA,MOTOS,,NO,NO,NO,NO
M474,CUBIERTAS ANTICONGELANTE,PIEZA,MOTOS,,NO,NO,NO,NO
M475,KIT DE HERRAJE,PIEZA,MOTOS,,NO,NO,NO,NO
M476,KIT PALANCA DE VELOCIDADES,PIEZA,MOTOS,,NO,NO,NO,NO
M477,EXTENSIÓN ELECTRICA PARA CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
M478,PALANCAS DE CRANK,PIEZA,MOTOS,,NO,NO,NO,NO
M479,ESTEREO,PIEZA,MOTOS,,NO,NO,NO,NO
M481,VISTAS LATERALES,PIEZA,MOTOS,,NO,NO,NO,NO
M482,BOCINA REVERSA,PIEZA,MOTOS,,NO,NO,NO,NO
M483,COMANDO DERECHO,PIEZA,MOTOS,,NO,NO,NO,NO
M484,COMANDO IZQUIERDO,PIEZA,MOTOS,,NO,NO,NO,NO
M485,DEFENSA LATERAL,PIEZA,MOTOS,,NO,NO,NO,NO
M486,PAQUETE DE BUJES Y GOMAS,PIEZA,MOTOS,,NO,NO,NO,NO
M487,MANIJAS CLUTCH,PIEZA,MOTOS,,NO,NO,NO,NO
M488,MANIJAS FRENO TRASERO,PIEZA,MOTOS,,NO,NO,NO,NO
M489,AMORTIGUADOR,PAR,MOTOS,,NO,NO,NO,NO
M490,TABLERO DE INSTRUMENTO BICEL CROMADO,PIEZA,MOTOS,,NO,NO,NO,NO
M491,GATO HIDRAULICO UNIVERSAL,PIEZA,MOTOS,,NO,NO,NO,NO
M492,LATERALES TABLERO,PIEZA,MOTOS,,NO,NO,NO,NO
M493,CUBIERTA DE FARO,PIEZA,MOTOS,,NO,NO,NO,NO
M494,SOPORTE DE FARO DELANTERO,PIEZA,MOTOS,,NO,NO,NO,NO
M495,JUEGO DE TAPAS LATERALES,PIEZA,MOTOS,,NO,NO,NO,NO
M496,RESPALDOS TRASEROS,PIEZA,MOTOS,,NO,NO,NO,NO
M497,BARRAS ESTABILIZADORAS,PIEZA,MOTOS,,NO,NO,NO,NO
M498,SALPICADERA DELANTERA,PIEZA,MOTOS,,NO,NO,NO,NO
M499,JUEGO DE SALPICADERA TRASERA,PIEZA,MOTOS,,NO,NO,NO,NO
M500,KIT SOPORTE ESCAPE,PIEZA,MOTOS,,NO,NO,NO,NO
M501,CUBIERTA DECORATIVA,PAR,MOTOS,,NO,NO,NO,NO
M502,FARO,PIEZA,MOTOS,,NO,NO,NO,NO
M506,PARABRISAS CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
M507,TABLERO CABINA,PIEZA,MOTOS,,NO,NO,NO,NO
